track_track_uri,sentiment
spotify:track:6I9VzXrHxO9rA9A5euc8Ak,0.2882407526055059
spotify:track:1AWQoqb9bSvzTjaLralEkT,0.985009348156408
spotify:track:1lzr43nnXAijIGYnCT8M8H,0.4414996291961027
spotify:track:0XUfyU2QviPAs6bxSpXYG4,0.077554170632321
spotify:track:68vgtRHr7iZHpzGpon6Jlo,0.0132971889996955
spotify:track:3BxWKCI06eQ5Od8TY2JBeA,0.9987644866851316
spotify:track:2gam98EZKrF9XuOkU13ApN,0.9647389535729606
spotify:track:4Y45aqo9QMa57rDsAJv40A,0.2626823429881624
spotify:track:1HwpWwa6bnqqRhK8agG4RS,0.0909050993201361
spotify:track:20ORwCJusz4KS2PbTPVNKo,0.7954314774276354
spotify:track:7k6IzwMGpxnRghE7YosnXT,0.7986093093315187
spotify:track:1Bv0Yl01xBDZD4OQP93fyl,0.0021735706248356
spotify:track:4omisSlTk6Dsq2iQD7MA07,0.7304294667903576
spotify:track:7xYnUQigPoIDAMPVK79NEq,0.002425957324349
spotify:track:215JYyyUnrJ98NK3KEwu6d,0.99966688071826
spotify:track:0uqPG793dkDDN7sCUJJIVC,0.9999999928370032
spotify:track:19Js5ypV6JKn4DMExHQbGc,0.7926628057568664
spotify:track:1JURww012QnWAw0zZXi6Aa,0.99792909367745
spotify:track:7DFnq8FYhHMCylykf6ZCxA,0.0001375579458878
spotify:track:1TfAhjzRBWzYZ8IdUV3igl,0.6184483641441774
spotify:track:6MjljecHzHelUDismyKkba,0.9861597195396918
spotify:track:67T6l4q3zVjC5nZZPXByU8,0.7805597902511823
spotify:track:34ceTg8ChN5HjrqiIYCn9Q,0.7496179641658158
spotify:track:6GIrIt2M39wEGwjCQjGChX,0.4793010172083015
spotify:track:3uoQULcUWfnt6nc6J7Vgai,0.9640182725967004
spotify:track:2nbClS09zsIAqNkshg6jnp,0.8353955549651204
spotify:track:69ghzc538EQSVon2Gm3wrr,0.9991256005425598
spotify:track:7oK9VyNzrYvRFo7nQEYkWN,0.9947323793987743
spotify:track:12qZHAeOyTf93YAWvGDTat,0.9615046791238916
spotify:track:2jFlMILIQzs7lSFudG9lbo,0.984178019052332
spotify:track:4I2GqMe7L2ccMpUbnDzYLH,0.9494507774481674
spotify:track:5lDriBxJd22IhOH9zTcFrV,0.7645016786670387
spotify:track:2eJ8ij1T3cNUKiGdcUvKhy,0.7839590201363313
spotify:track:5y69gQtK33qxb8a24ACkCy,0.5666747034054711
spotify:track:3utIAb67sOu0QHxBE88P1M,0.9947192691136502
spotify:track:3jkdQNkDTxxXtjSO4l0o1H,0.1716436388766334
spotify:track:5c1sfI6wIQEsSUw0xrkFdl,0.9887037574642954
spotify:track:6sqNctd7MlJoKDOxPVCAvU,0.3101125407041076
spotify:track:1b7vg5T9YKR3NNqXfBYRF7,0.2806796459361131
spotify:track:2HHtWyy5CgaQbC7XSoOb0e,0.9472443511381722
spotify:track:7nZnCjIJ8JigdMqJ36yRRm,1.0
spotify:track:5CQ30WqJwcep0pYcV4AMNc,0.9983275888871438
spotify:track:1HZ3cUZUw5htSFmah1V8Ko,0.9913342564233182
spotify:track:6Vz7vzOpCwKeSQlfViibuY,0.9574246621331224
spotify:track:4sFbojhVXQv7dBC9PVCcRn,0.99169972529943
spotify:track:1dv3ePjze9tPq2pk8eWJdR,0.8313445155652825
spotify:track:5EWPGh7jbTNO2wakv8LjUI,0.8734442969143232
spotify:track:1GqlvSEtMx5xbGptxOTTyk,0.9766430471020232
spotify:track:39C5FuZ8C8M0QI8CrMsPkR,0.8877248520083049
spotify:track:4aVuWgvD0X63hcOCnZtNFA,0.1155739573950742
spotify:track:4DMKwE2E2iYDKY01C335Uw,0.997137288462008
spotify:track:1AhDOtG9vPSOmsWgNW0BEY,0.4782738354833883
spotify:track:4CJVkjo5WpmUAKp3R44LNb,0.9532733408742337
spotify:track:1QEEqeFIZktqIpPI4jSVSF,0.9974531326940596
spotify:track:2nVHqZbOGkKWzlcy1aMbE7,0.5142734558356992
spotify:track:0XIvZ82aDF7JiSi3ZE320u,0.7157029165188911
spotify:track:3QZ7uX97s82HFYSmQUAN1D,0.9827793851987496
spotify:track:6UGHk2cmbDC1oidVjXcCKo,0.999544792923832
spotify:track:0K6yUnIKNsFtfIpTgGtcHm,0.9999996780381676
spotify:track:6cbBAD1AAYVaQR1cx89AZX,0.9999898952451972
spotify:track:1k0GxoZYv3Yx5mNeXMOZN2,0.9997877003007148
spotify:track:7tIJDktakabGoHjwTTa35W,0.99915264642179
spotify:track:5S5gGOsUarzRXKoaSstwba,0.9819921976830251
spotify:track:7iV733e1KacKrFRaBNxVEf,0.9987183267105142
spotify:track:6lbLn5iL2NBJnbib7bTXMn,0.8827112284410358
spotify:track:1rEsbyBuQ0MqKF3dG7B0bf,0.9851168595095936
spotify:track:49MHzAcdjObyNqKcRVw3vZ,0.9914699213735362
spotify:track:0KG3m0KDzDg7uLHqtfTvpJ,0.999943450233892
